3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
3,1,1,1,1,1,1,1,1,3,6,3,1,1,2,1,1,1,1,3,-
3,1,1,1,1,1,1,4,2,2,1,3,1,1,1,1,1,1,2,3,-
3,1,1,1,3,3,1,4,1,1,1,1,1,1,1,3,3,1,1,3,-
3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,-
3,1,3,7,1,4,1,3,1,1,1,1,1,1,1,1,3,1,1,3,-
3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,3,-
3,1,1,3,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,3,-
3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,-
3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,-
3,1,3,1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,1,3,-
3,1,3,7,1,3,1,1,3,1,1,1,1,1,4,1,3,1,1,3,-
3,1,3,3,3,1,1,3,1,1,1,1,1,1,1,1,3,1,1,3,-
3,1,1,1,1,1,3,1,1,1,3,1,1,1,2,1,1,1,1,3,-
3,1,1,1,1,1,3,1,1,1,7,3,8,3,1,1,1,2,1,3,-
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
